Order Date,Product Name,Category,Region,Quantity,Sales,Profit,Order ID,Customer_ID,Price,Discount,Delivery Time,Shipping Mode,Customer Rating,Customer Segment,Returned,Return Reason,Return
22-01-2024,Mouse,Accessories,West,4,988,147.91,32,ABC0032,247,29,3,Standard,3.7,Regular,No,Not Returned,No
09-04-2023,Laptop,Electronics,North,9,10773,1907.36,33,ABC0033,1197,18,6,Express,3.7,Premium,No,Not Returned,No
07-02-2023,Headphones,Accessories,South,4,3252,713.46,34,ABC0034,813,13,12,Express,1.3,Premium,Yes,Low Rating,No
04-05-2023,Headphones,Accessories,North,3,2739,202.81,35,ABC0035,913,30,8,Standard,1.7,Premium,Yes,Low Rating,No
18-04-2023,Tablet,Electronics,South,7,2709,702.79,36,ABC0036,387,6,8,Standard,1,Premium,Yes,Low Rating,No
12-12-2022,Printer,Office,West,3,936,201.24,37,ABC0037,312,24,11,Standard,1,Regular,Yes,Low Rating,No
11-09-2022,Camera,Electronics,West,4,3720,410.92,38,ABC0038,930,32,9,Express,2.1,Premium,Yes,Low Rating,No
26-03-2024,Mouse,Accessories,West,5,5320,716.91,39,ABC0039,1064,11,1,Express,4.9,Premium,No,Not Returned,No
20-09-2023,Headphones,Accessories,East,4,804,121.51,40,ABC0040,201,12,1,Same Day,4.6,Regular,No,Not Returned,No
25-05-2023,Laptop,Electronics,North,8,1224,246.77,41,ABC0041,153,39,3,Express,4,Regular,No,Not Returned,No
04-12-2022,Headphones,Accessories,South,9,8667,781.78,42,ABC0042,963,18,3,Standard,3.9,Premium,No,Not Returned,No
10-06-2022,Monitor,Accessories,West,3,3018,320.11,43,ABC0043,1006,21,10,Express,2.2,Premium,Yes,Low Rating,No
05-02-2023,Laptop,Electronics,West,5,4325,1023.39,44,ABC0044,865,8,8,Same Day,1.6,Premium,Yes,Low Rating,No
20-01-2024,Laptop,Electronics,South,3,1557,181.08,45,ABC0045,519,6,10,Same Day,1.8,Regular,Yes,Low Rating,No
27-01-2022,Monitor,Accessories,South,6,3672,1002.5,46,ABC0046,612,10,1,Standard,4.3,Premium,No,Not Returned,No
29-03-2023,Mouse,Accessories,West,1,333,72.34,47,ABC0047,333,8,2,Standard,3.9,Regular,Yes,Product Issue,No
17-01-2022,Headphones,Accessories,West,4,2384,577.26,48,ABC0048,596,33,2,Same Day,4.9,Premium,No,Not Returned,No
26-11-2024,Mouse,Accessories,West,6,888,210.39,49,ABC0049,148,22,3,Same Day,3.5,Regular,No,Not Returned,No
19-09-2024,Laptop,Electronics,West,5,3280,954.17,50,ABC0050,656,30,6,Same Day,2.9,Premium,Yes,Not Returned,No
20-07-2023,Mouse,Accessories,South,7,1239,177.39,51,ABC0051,177,38,1,Standard,5,Regular,No,Not Returned,No
03-05-2024,Headphones,Accessories,East,8,5880,436.85,52,ABC0052,735,14,2,Same Day,4.8,Premium,No,Not Returned,No
03-09-2022,Smartphone,Electronics,West,2,1668,437.3,53,ABC0053,834,18,1,Same Day,4.4,Regular,No,Not Returned,No
09-07-2024,Printer,Office,West,7,4109,1037.64,54,ABC0054,587,35,5,Standard,3.1,Premium,No,Not Returned,No
17-11-2022,Smartwatch,Electronics,West,7,595,148.5,55,ABC0055,85,19,7,Express,2.1,Regular,Yes,Low Rating,No
28-12-2023,Headphones,Accessories,East,7,8155,1587.91,56,ABC0056,1165,12,8,Express,3,Premium,No,Not Returned,No
30-05-2022,Monitor,Accessories,South,3,1872,553.1,57,ABC0057,624,18,10,Same Day,2.2,Regular,Yes,Low Rating,No
17-04-2024,Smartwatch,Electronics,East,6,2124,126.03,58,ABC0058,354,27,1,Express,5,Regular,No,Not Returned,No
30-09-2024,Monitor,Accessories,West,5,5210,1338.8,59,ABC0059,1042,25,7,Express,3.1,Premium,No,Not Returned,No
02-06-2024,Mouse,Accessories,South,7,5761,362.48,60,ABC0060,823,20,5,Express,2.9,Premium,Yes,Not Returned,No
26-09-2022,Headphones,Accessories,South,7,6895,1596.35,61,ABC0061,985,22,10,Express,1,Premium,Yes,Low Rating,No
17-12-2024,Smartwatch,Electronics,East,3,2118,317.08,62,ABC0062,706,28,1,Same Day,4.9,Regular,No,Not Returned,No
09-10-2024,Smartwatch,Electronics,North,5,830,58.28,63,ABC0063,166,30,3,Express,4.4,Regular,Yes,Product Issue,No
14-07-2023,Smartwatch,Electronics,North,1,851,93.56,64,ABC0064,851,29,7,Express,3.5,Regular,Yes,Product Issue,No
05-12-2023,Tablet,Electronics,East,5,4730,1365.63,65,ABC0065,946,33,10,Standard,1.6,Premium,Yes,Low Rating,No
03-06-2022,Mouse,Accessories,West,6,5460,845.75,66,ABC0066,910,19,1,Same Day,4.5,Premium,No,Not Returned,No
28-12-2024,Headphones,Accessories,East,5,5795,310.6,67,ABC0067,1159,5,7,Standard,2.5,Premium,Yes,Not Returned,No
06-08-2022,Laptop,Electronics,South,4,2008,338.44,68,ABC0068,502,29,5,Standard,3.7,Regular,No,Not Returned,No
06-06-2023,Mouse,Accessories,South,7,2842,425.24,69,ABC0069,406,11,1,Same Day,4.5,Premium,No,Not Returned,No
01-02-2024,Mouse,Accessories,East,4,3404,392.22,70,ABC0070,851,13,1,Express,4.6,Premium,No,Not Returned,No
31-05-2023,Smartwatch,Electronics,West,1,1065,228.63,71,ABC0071,1065,28,1,Standard,5,Regular,No,Not Returned,No
14-06-2024,Tablet,Electronics,West,7,2149,121.69,72,ABC0072,307,5,11,Same Day,1,Regular,Yes,Low Rating,No
14-08-2024,Keyboard,Accessories,East,8,5912,1143.04,73,ABC0073,739,12,9,Express,2.7,Premium,Yes,Late Delivery,No
01-02-2023,Mouse,Accessories,West,3,3348,331.28,74,ABC0074,1116,28,11,Same Day,1.6,Premium,Yes,Low Rating,No
28-04-2024,Smartphone,Electronics,South,3,2409,531.79,75,ABC0075,803,15,3,Standard,3.1,Premium,No,Not Returned,No
05-04-2024,Tablet,Electronics,North,2,328,39.51,76,ABC0076,164,21,5,Express,3.1,Regular,Yes,Product Issue,No
31-01-2024,Smartphone,Electronics,West,8,6224,1561.42,77,ABC0077,778,12,11,Express,1,Premium,Yes,Low Rating,No
09-01-2024,Smartwatch,Electronics,North,5,2530,486.09,78,ABC0078,506,39,10,Same Day,1.6,Premium,Yes,Low Rating,No
06-04-2022,Headphones,Accessories,West,4,4108,462.17,79,ABC0079,1027,39,12,Express,1,Premium,Yes,Low Rating,No
22-05-2024,Printer,Office,South,5,1640,391.36,80,ABC0080,328,37,9,Standard,2.4,Regular,Yes,Low Rating,No
30-12-2023,Laptop,Electronics,South,1,111,19.33,81,ABC0081,111,9,6,Standard,2.6,Regular,Yes,Product Issue,No
17-03-2022,Headphones,Accessories,North,1,445,128.89,82,ABC0082,445,32,12,Standard,1.2,Regular,Yes,Low Rating,No
24-05-2022,Printer,Office,North,4,3600,623.72,83,ABC0083,900,11,9,Same Day,2.3,Premium,Yes,Low Rating,No
09-06-2024,Mouse,Accessories,North,3,1335,176.44,84,ABC0084,445,13,8,Express,2.5,Regular,Yes,Not Returned,No
01-12-2024,Keyboard,Accessories,South,5,3090,242.15,85,ABC0085,618,12,8,Express,2.9,Premium,Yes,Not Returned,No
20-10-2023,Printer,Office,East,5,3910,538.52,86,ABC0086,782,16,1,Express,5,Premium,No,Not Returned,No
05-03-2024,Camera,Electronics,South,1,219,32.67,87,ABC0087,219,38,9,Standard,2.1,Regular,Yes,Low Rating,No
05-12-2022,Smartphone,Electronics,West,5,390,27.77,88,ABC0088,78,37,6,Express,3.2,Regular,Yes,Product Issue,No
05-08-2022,Laptop,,North,6,3294,359.61,89,ABC0089,549,27,9,Standard,1.6,Premium,Yes,Low Rating,No
21-03-2023,Keyboard,Accessories,West,4,4572,1038.05,90,ABC0090,1143,28,3,Express,3.5,Premium,No,Not Returned,No
08-02-2022,Monitor,Accessories,South,7,980,109.94,91,ABC0091,140,39,12,Standard,1.5,Regular,Yes,Low Rating,No
01-04-2023,Headphones,Accessories,North,2,2262,532.12,92,ABC0092,1131,26,3,Express,4.5,Regular,No,Not Returned,No
14-12-2022,Camera,Electronics,South,7,7518,1655.91,93,ABC0093,1074,31,6,Same Day,2.5,Premium,Yes,Not Returned,No
14-05-2022,Camera,Electronics,South,1,873,158.97,94,ABC0094,873,39,9,Same Day,1.3,Regular,Yes,Low Rating,No
16-02-2022,Mouse,Accessories,North,6,1512,423.03,95,ABC0095,252,5,7,Standard,2.3,Regular,Yes,Low Rating,No
28-08-2024,Laptop,Electronics,West,1,705,165.16,96,ABC0096,705,39,3,Standard,3.9,Regular,No,Not Returned,No
30-10-2023,Smartwatch,Electronics,North,8,3256,533.7,97,ABC0097,407,18,3,Express,3.8,Premium,No,Not Returned,No
24-06-2023,Tablet,Electronics,West,4,556,81.77,98,ABC0098,139,7,2,Express,4.4,Regular,Yes,Product Issue,No
17-05-2023,Mouse,Accessories,East,9,7101,2105.82,99,ABC0099,789,5,9,Same Day,2.5,Premium,Yes,Late Delivery,No
06-04-2023,Laptop,Electronics,West,9,8802,1344.96,100,ABC0100,978,9,3,Express,4.2,Premium,No,Not Returned,No
26-03-2023,Headphones,Accessories,South,6,5592,1294.16,101,ABC0101,932,30,11,Standard,1.6,Premium,Yes,Low Rating,No
12-10-2024,Tablet,Electronics,North,2,1852,168.92,102,ABC0102,926,18,5,Standard,2.1,Regular,Yes,Low Rating,No
26-06-2022,Monitor,Accessories,East,1,195,57.88,103,ABC0103,195,31,9,Standard,1.2,Regular,Yes,Low Rating,No
15-04-2022,Mouse,Accessories,East,9,7884,2054.02,104,ABC0104,876,13,8,Standard,1.9,Premium,Yes,Low Rating,No
10-12-2023,Laptop,Electronics,East,5,4360,1160.55,105,ABC0105,872,19,2,Standard,4,Premium,No,Not Returned,No
23-09-2024,Mouse,Accessories,North,6,4920,929.18,106,ABC0106,820,19,3,Same Day,4.4,Premium,No,Not Returned,No
01-01-2022,Mouse,Accessories,East,3,3474,565,107,ABC0107,1158,30,2,Same Day,3.9,Premium,No,Not Returned,No
03-02-2022,Keyboard,Accessories,West,1,930,222.5,108,ABC0108,930,17,8,Standard,2.7,Regular,Yes,Not Returned,No
14-03-2023,Tablet,Electronics,South,7,1421,248.02,109,ABC0109,203,36,6,Express,2.6,Regular,Yes,Not Returned,No
24-08-2022,Headphones,Accessories,North,2,634,161.1,110,ABC0110,317,36,6,Standard,2.4,Regular,Yes,Low Rating,No
07-07-2024,Camera,Electronics,East,1,673,114.42,111,ABC0111,673,8,12,Same Day,1,Regular,Yes,Low Rating,No
13-04-2022,Mouse,Accessories,South,5,3135,787.7,112,ABC0112,627,34,9,Standard,3.1,Premium,No,Late Delivery,No
08-05-2024,Smartphone,Electronics,East,6,882,184.48,113,ABC0113,147,27,8,Same Day,1.9,Regular,Yes,Low Rating,No
10-09-2024,Smartphone,Electronics,East,4,1192,212.77,114,ABC0114,298,19,4,Same Day,4,Regular,No,Not Returned,No
18-06-2024,Printer,Office,South,3,390,112.08,115,ABC0115,130,33,12,Standard,1,Regular,Yes,Low Rating,No
10-09-2024,Tablet,Electronics,North,1,834,95.54,116,ABC0116,834,17,4,Standard,4.4,Regular,Yes,Product Issue,No
06-05-2022,Smartphone,Electronics,East,6,612,83.75,117,ABC0117,102,36,9,Express,2.2,Regular,Yes,Low Rating,No
18-06-2024,Headphones,Accessories,West,9,8073,710.23,118,ABC0118,897,11,1,Same Day,4.8,Premium,No,Not Returned,No
29-10-2023,Keyboard,Accessories,North,8,2640,723.88,119,ABC0119,330,26,2,Express,4.5,Premium,No,Not Returned,No
13-11-2023,Smartphone,Electronics,North,3,3234,440.7,120,ABC0120,1078,32,2,Standard,4.6,Premium,No,Not Returned,No
21-08-2022,Monitor,Accessories,West,5,4435,355.51,121,ABC0121,887,6,6,Same Day,3.4,Premium,No,Not Returned,No
04-03-2024,Smartwatch,Electronics,North,2,2302,305.07,122,ABC0122,1151,10,4,Express,3.4,Regular,No,Not Returned,No
17-04-2022,Camera,Electronics,East,6,1728,307.44,123,ABC0123,288,32,11,Express,1,Regular,Yes,Low Rating,No
20-12-2023,Laptop,Electronics,East,4,228,54.05,124,ABC0124,57,32,10,Express,1.7,Regular,Yes,Low Rating,No
19-03-2022,Tablet,Electronics,West,6,3450,705.74,125,ABC0125,575,24,3,Standard,4.3,Premium,No,Not Returned,No
07-07-2024,Smartphone,Electronics,South,8,7456,1702.48,126,ABC0126,932,34,3,Standard,4,Premium,No,Not Returned,No
30-04-2023,Smartphone,Electronics,West,6,4728,705.85,127,ABC0127,788,15,3,Standard,4.4,Premium,No,Not Returned,No
22-03-2024,Smartwatch,Electronics,North,7,945,124.62,128,ABC0128,135,32,6,Same Day,3.3,Regular,No,Not Returned,No
08-03-2022,Laptop,Electronics,North,4,296,65.05,129,ABC0129,74,29,8,Standard,2.2,Regular,Yes,Low Rating,No
15-09-2023,Smartphone,Electronics,West,4,640,149.89,130,ABC0130,160,37,11,Same Day,1,Regular,Yes,Low Rating,No
01-03-2023,Tablet,Electronics,North,1,797,65.27,131,ABC0131,797,5,7,Express,2.4,Regular,Yes,Low Rating,No
24-10-2023,Monitor,Accessories,North,4,1456,431.89,132,ABC0132,364,31,4,Express,4.5,Regular,No,Not Returned,No
22-04-2024,Monitor,Accessories,South,6,4038,364.11,133,ABC0133,673,17,11,Standard,1.5,Premium,Yes,Low Rating,No
27-06-2023,Tablet,Electronics,West,7,5656,355.81,134,ABC0134,808,7,12,Express,1,Premium,Yes,Low Rating,No
13-04-2023,Mouse,Accessories,West,4,3876,302.37,135,ABC0135,969,10,4,Standard,3.8,Premium,No,Not Returned,No
19-05-2023,Keyboard,Accessories,South,6,1002,114.7,136,ABC0136,167,12,11,Same Day,1.7,Regular,Yes,Low Rating,No
15-11-2024,Headphones,Accessories,East,9,2187,413.76,137,ABC0137,243,31,10,Express,1.3,Regular,Yes,Low Rating,No
25-12-2023,Mouse,Accessories,North,6,7146,1627.42,138,ABC0138,1191,13,11,Standard,2,Premium,Yes,Low Rating,No
31-03-2022,Keyboard,Accessories,South,1,189,14.88,139,ABC0139,189,37,11,Express,1.6,Regular,Yes,Low Rating,No
24-04-2024,Monitor,Accessories,East,5,940,266.02,140,ABC0140,188,28,11,Express,1,Regular,Yes,Low Rating,No
10-01-2022,Headphones,Accessories,North,1,951,127.58,141,ABC0141,951,19,2,Standard,4.8,Regular,No,Not Returned,No
17-11-2022,Printer,Office,East,2,124,27.42,142,ABC0142,62,36,1,Express,4.5,Regular,Yes,Product Issue,No
29-06-2024,Mouse,Accessories,West,9,7506,594.28,143,ABC0143,834,36,9,Express,1.9,Premium,Yes,Low Rating,No
14-11-2022,Monitor,Accessories,West,7,8176,2308.76,144,ABC0144,1168,28,12,Express,1,Premium,Yes,Low Rating,No
11-08-2023,Smartphone,Electronics,East,5,2125,632.68,145,ABC0145,425,16,12,Express,1.3,Regular,Yes,Low Rating,No
22-05-2024,Headphones,Accessories,North,1,967,59.98,146,ABC0146,967,6,2,Same Day,4.3,Regular,Yes,Product Issue,No
19-03-2022,Headphones,Accessories,South,5,270,29.41,147,ABC0147,54,7,8,Express,2.7,Regular,Yes,Product Issue,No
23-10-2022,Keyboard,Accessories,West,9,10035,1486.3,148,ABC0148,1115,21,9,Express,1.7,Premium,Yes,Low Rating,No
26-02-2023,Printer,Office,North,8,6792,1125.23,149,ABC0149,849,6,4,Standard,3.3,Premium,No,Not Returned,No
03-10-2024,Printer,Office,East,1,714,99.13,150,ABC0150,714,6,8,Same Day,2,Regular,Yes,Low Rating,No
17-07-2022,Smartphone,Electronics,South,5,765,157.64,151,ABC0151,153,32,9,Standard,2.2,Regular,Yes,Low Rating,No
04-11-2024,Headphones,Accessories,East,7,4221,358.02,152,ABC0152,603,27,10,Standard,1.3,Premium,Yes,Low Rating,No
24-02-2023,Laptop,Electronics,North,4,2108,576.48,153,ABC0153,527,36,10,Standard,1.6,Regular,Yes,Low Rating,No
08-08-2024,Monitor,Accessories,North,9,10530,2387.63,154,ABC0154,1170,37,5,Same Day,3.1,Premium,No,Not Returned,No
14-05-2024,Keyboard,Accessories,South,6,3396,914.17,155,ABC0155,566,5,7,Standard,2.9,Premium,Yes,Not Returned,No
15-01-2022,Monitor,Accessories,North,4,1060,213.05,156,ABC0156,265,23,10,Standard,1,Regular,Yes,Low Rating,No
10-05-2022,Tablet,Electronics,East,5,480,73.07,157,ABC0157,96,6,4,Standard,3.8,Regular,Yes,Product Issue,No
10-03-2022,Headphones,Accessories,West,3,2529,285.65,158,ABC0158,843,30,1,Express,5,Premium,No,Not Returned,No
23-01-2022,Smartwatch,Electronics,East,8,4792,511.97,159,ABC0159,599,36,3,Standard,4.6,Premium,No,Not Returned,No
19-09-2024,Smartwatch,Electronics,East,8,8056,605.8,160,ABC0160,1007,10,5,Same Day,3,Premium,No,Not Returned,No
06-06-2024,Tablet,Electronics,North,4,4228,947.76,161,ABC0161,1057,36,3,Same Day,4.2,Premium,No,Not Returned,No
10-10-2024,Tablet,Electronics,East,1,653,93.78,162,ABC0162,653,8,12,Express,1.2,Regular,Yes,Low Rating,No
24-03-2024,Tablet,Electronics,North,9,7452,1212.51,163,ABC0163,828,15,11,Same Day,2.1,Premium,Yes,Low Rating,No
21-07-2023,Mouse,Accessories,East,4,4128,1156.71,164,ABC0164,1032,21,7,Same Day,1.4,Premium,Yes,Low Rating,No
21-07-2022,Tablet,Electronics,West,5,5090,1201.56,165,ABC0165,1018,28,12,Express,1.6,Premium,Yes,Low Rating,No
01-09-2022,Camera,Electronics,North,5,4930,387.33,166,ABC0166,986,9,9,Standard,1.9,Premium,Yes,Low Rating,No
20-04-2023,Smartwatch,Electronics,South,6,2610,434.37,167,ABC0167,435,38,12,Express,1,Premium,Yes,Low Rating,No
11-12-2023,Laptop,Electronics,North,3,2139,415.84,168,ABC0168,713,10,6,Standard,2.6,Regular,Yes,Not Returned,No
29-09-2024,Tablet,Electronics,South,1,226,55.4,169,ABC0169,226,26,10,Standard,1,Regular,Yes,Low Rating,No
20-11-2023,Smartwatch,Electronics,West,2,2244,212.08,170,ABC0170,1122,15,1,Same Day,4.4,Regular,No,Not Returned,No
15-07-2023,Monitor,Accessories,East,6,3150,578.87,171,ABC0171,525,20,7,Express,2.1,Premium,Yes,Low Rating,No
24-12-2023,Laptop,Electronics,South,7,3388,347.19,172,ABC0172,484,37,3,Same Day,4.1,Premium,No,Not Returned,No
13-08-2023,Laptop,Electronics,East,8,8736,580.31,173,ABC0173,1092,13,5,Same Day,3.6,Premium,No,Not Returned,No
24-04-2022,Smartphone,Electronics,South,2,1102,176.53,174,ABC0174,551,10,10,Standard,1.5,Regular,Yes,Low Rating,No
13-07-2024,Monitor,Accessories,East,3,2640,199.97,175,ABC0175,880,20,4,Same Day,4.4,Premium,No,Not Returned,No
11-06-2022,Printer,Office,West,3,2547,300.74,176,ABC0176,849,33,10,Express,1.4,Premium,Yes,Low Rating,No
28-10-2024,Laptop,,North,7,728,64.82,177,ABC0177,104,7,5,Same Day,3.2,Regular,Yes,Product Issue,No
24-11-2022,Camera,Electronics,South,7,3444,607.44,178,ABC0178,492,24,5,Same Day,3.1,Premium,No,Not Returned,No
03-10-2024,Camera,Electronics,West,5,3140,853.66,179,ABC0179,628,23,6,Standard,3.3,Premium,No,Not Returned,No
24-03-2024,Smartphone,Electronics,East,3,435,129.27,180,ABC0180,145,30,10,Express,2,Regular,Yes,Low Rating,No
28-06-2024,Keyboard,Accessories,East,4,856,72.99,181,ABC0181,214,7,12,Same Day,1.2,Regular,Yes,Low Rating,No
31-05-2022,Printer,Office,North,2,112,23.33,182,ABC0182,56,23,10,Standard,1.6,Regular,Yes,Low Rating,No
25-03-2024,Headphones,Accessories,North,3,2247,507.79,183,ABC0183,749,24,11,Same Day,1,Regular,Yes,Low Rating,No
31-01-2023,Keyboard,Accessories,West,2,1512,298.73,184,ABC0184,756,36,6,Express,2.8,Regular,Yes,Not Returned,No
23-06-2024,Mouse,Accessories,South,5,4915,1196.6,185,ABC0185,983,11,8,Same Day,3.1,Premium,No,Not Returned,No
16-08-2023,Mouse,Accessories,South,3,2709,663.54,186,ABC0186,903,37,8,Same Day,2.8,Premium,Yes,Not Returned,No
10-06-2023,Tablet,Electronics,North,7,1239,118.36,187,ABC0187,177,22,11,Standard,1.5,Regular,Yes,Low Rating,No
09-05-2023,Tablet,Electronics,West,2,572,86.16,188,ABC0188,286,5,9,Same Day,1.8,Regular,Yes,Low Rating,No
08-05-2022,Smartwatch,Electronics,North,2,1708,93.25,189,ABC0189,854,15,8,Standard,2.3,Regular,Yes,Low Rating,No
06-11-2024,Smartwatch,Electronics,North,4,360,42.66,190,ABC0190,90,32,11,Express,1.1,Regular,Yes,Low Rating,No
08-12-2022,Camera,Electronics,North,6,3822,388.34,191,ABC0191,637,29,2,Same Day,4.9,Premium,No,Not Returned,No
25-09-2022,Camera,Electronics,North,6,4680,932.97,192,ABC0192,780,27,12,Express,1,Premium,Yes,Low Rating,No
10-07-2024,Camera,Electronics,North,5,2520,487.18,193,ABC0193,504,35,10,Express,2.1,Premium,Yes,Low Rating,No
29-03-2024,Smartwatch,Electronics,North,2,2138,619.29,194,ABC0194,1069,34,12,Same Day,1,Regular,Yes,Low Rating,No
11-01-2022,Keyboard,Accessories,West,3,2529,169.6,195,ABC0195,843,39,11,Standard,2,Premium,Yes,Low Rating,No
08-04-2022,Keyboard,Accessories,East,1,236,29.33,196,ABC0196,236,11,1,Express,4.9,Regular,Yes,Product Issue,No
21-01-2024,Tablet,Electronics,West,6,2730,636.48,197,ABC0197,455,20,10,Express,1.3,Premium,Yes,Low Rating,No
27-04-2023,Headphones,Accessories,North,3,3021,872.49,198,ABC0198,1007,30,2,Same Day,4.2,Premium,No,Not Returned,No
06-11-2024,Smartwatch,Electronics,North,2,244,16.78,199,ABC0199,122,6,2,Same Day,4.7,Regular,Yes,Product Issue,No
11-05-2022,Camera,Electronics,South,8,728,120.06,200,ABC0200,91,5,12,Same Day,1,Regular,Yes,Low Rating,No
02-10-2022,Mouse,Accessories,North,3,453,89.49,201,ABC0201,151,16,3,Same Day,4,Regular,Yes,Product Issue,No
12-01-2022,Laptop,Electronics,South,1,379,84.38,202,ABC0202,379,9,10,Same Day,1.4,Regular,Yes,Low Rating,No
09-01-2023,Tablet,Electronics,West,3,2130,510.69,203,ABC0203,710,36,7,Same Day,3.5,Regular,No,Not Returned,No
04-05-2023,Monitor,Accessories,North,8,4120,710.11,204,ABC0204,515,13,2,Standard,5,Premium,No,Not Returned,No
07-09-2024,Smartwatch,Electronics,South,7,3150,299.7,205,ABC0205,450,39,1,Express,5,Premium,No,Not Returned,No
17-05-2022,Smartwatch,Electronics,East,7,2688,603.07,206,ABC0206,384,23,6,Standard,2.9,Premium,Yes,Not Returned,No
17-08-2023,Tablet,Electronics,East,2,1752,501.19,207,ABC0207,876,20,9,Standard,1.8,Regular,Yes,Low Rating,No
07-09-2023,Keyboard,Accessories,North,7,7308,948.4,208,ABC0208,1044,7,3,Same Day,3.6,Premium,No,Not Returned,No
11-05-2022,Tablet,Electronics,North,3,2007,160.84,209,ABC0209,669,24,6,Express,3.8,Regular,No,Not Returned,No
12-05-2023,Tablet,Electronics,West,7,7224,479.23,210,ABC0210,1032,28,3,Standard,4.5,Premium,No,Not Returned,No
08-05-2023,Monitor,Accessories,South,9,6939,1249.31,211,ABC0211,771,37,1,Same Day,5,Premium,No,Not Returned,No
18-02-2023,Smartphone,Electronics,East,7,5516,1475.67,212,ABC0212,788,28,12,Same Day,1,Premium,Yes,Low Rating,No
29-01-2022,Printer,Office,South,2,2224,116.47,213,ABC0213,1112,15,5,Express,2.5,Regular,Yes,Not Returned,No
